#options: 1280x720 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=12 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=7500 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:37 out:34 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:451 mv:331 misc:346 imb:98 pmb:4 smb:3498 d:- ref:0 ;
in:35 out:35 type:B dur:2 cpbdur:2 q:0.00 aq:0.00 tex:124 mv:101 misc:343 imb:0 pmb:54 smb:3546 d:- ref:0 ;
in:34 out:36 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:124 mv:101 misc:327 imb:0 pmb:54 smb:3546 d:- ref:0 ;
in:36 out:37 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:80 mv:2 misc:262 imb:0 pmb:2 smb:3598 d:- ref:0 ;
in:41 out:38 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:81 mv:14 misc:297 imb:0 pmb:2 smb:3598 d:- ref:0 ;
in:39 out:39 type:B dur:2 cpbdur:2 q:0.00 aq:0.00 tex:80 mv:2 misc:278 imb:0 pmb:2 smb:3598 d:- ref:0 ;
in:38 out:40 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:80 mv:2 misc:262 imb:0 pmb:2 smb:3598 d:- ref:0 ;
in:40 out:41 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:80 mv:2 misc:262 imb:0 pmb:2 smb:3598 d:- ref:0 ;
in:45 out:42 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:290 mv:308 misc:474 imb:110 pmb:4 smb:3486 d:- ref:0 ;
in:43 out:43 type:B dur:2 cpbdur:2 q:0.00 aq:0.00 tex:58 mv:95 misc:407 imb:0 pmb:64 smb:3536 d:- ref:0 ;
in:42 out:44 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:242 mv:319 misc:407 imb:30 pmb:35 smb:3535 d:- ref:0 ;
in:44 out:45 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:240 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:49 out:46 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:38 mv:7 misc:283 imb:0 pmb:1 smb:3599 d:- ref:0 ;
in:47 out:47 type:B dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:256 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:46 out:48 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:240 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:48 out:49 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:0 mv:0 misc:240 imb:0 pmb:0 smb:3600 d:- ref:0 ;
in:53 out:50 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:2898 mv:36 misc:290 imb:2 pmb:2 smb:3596 d:- ref:0 ;
in:51 out:51 type:B dur:2 cpbdur:2 q:0.00 aq:0.00 tex:1578 mv:61 misc:273 imb:0 pmb:4 smb:3596 d:- ref:0 ;
in:50 out:52 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:11 mv:17 misc:252 imb:0 pmb:2 smb:3598 d:- ref:0 ;
in:52 out:53 type:b dur:2 cpbdur:2 q:0.00 aq:0.00 tex:151 mv:28 misc:253 imb:0 pmb:4 smb:3596 d:- ref:0 ;
in:57 out:54 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:1992 mv:43 misc:293 imb:0 pmb:4 smb:3596 d:- ref:0 ;
in:55 out:55 type:B dur:2 cpbdur:2 q:0.00 aq:0.80 tex:1580 mv:63 misc:269 imb:0 pmb:4 smb:3596 d:- ref:0 ;
in:54 out:56 type:b dur:2 cpbdur:2 q:0.00 aq:1.59 tex:87 mv:28 misc:253 imb:0 pmb:4 smb:3596 d:- ref:0 ;
in:56 out:57 type:b dur:2 cpbdur:2 q:0.00 aq:2.45 tex:151 mv:26 misc:255 imb:0 pmb:4 smb:3596 d:- ref:0 ;
in:61 out:58 type:P dur:2 cpbdur:2 q:0.00 aq:2.32 tex:4733 mv:55 misc:300 imb:3 pmb:4 smb:3593 d:- ref:0 ;
in:59 out:59 type:B dur:2 cpbdur:2 q:0.00 aq:1.55 tex:2203 mv:75 misc:282 imb:0 pmb:7 smb:3593 d:- ref:0 ;
in:58 out:60 type:b dur:2 cpbdur:2 q:0.00 aq:0.80 tex:294 mv:36 misc:270 imb:0 pmb:6 smb:3594 d:- ref:0 ;
in:60 out:61 type:b dur:2 cpbdur:2 q:0.00 aq:2.45 tex:212 mv:39 misc:269 imb:0 pmb:6 smb:3594 d:- ref:0 ;
in:65 out:62 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:5295 mv:953 misc:368 imb:1639 pmb:11 smb:1950 d:- ref:0 ;
in:63 out:63 type:B dur:2 cpbdur:2 q:0.00 aq:3.18 tex:462 mv:122 misc:528 imb:0 pmb:166 smb:3434 d:- ref:0 ;
in:62 out:64 type:b dur:2 cpbdur:2 q:0.00 aq:0.80 tex:283 mv:109 misc:456 imb:0 pmb:117 smb:3483 d:- ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:0.00 aq:2.45 tex:73 mv:1 misc:254 imb:0 pmb:1 smb:3599 d:- ref:0 ;
in:69 out:66 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:9000 mv:90 misc:310 imb:3 pmb:10 smb:3587 d:- ref:0 ;
in:67 out:67 type:B dur:2 cpbdur:2 q:0.00 aq:0.00 tex:5091 mv:80 misc:285 imb:1 pmb:13 smb:3586 d:- ref:0 ;
in:66 out:68 type:b dur:2 cpbdur:2 q:0.00 aq:0.07 tex:1981 mv:57 misc:266 imb:0 pmb:11 smb:3589 d:- ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:0.00 aq:2.43 tex:719 mv:55 misc:266 imb:0 pmb:11 smb:3589 d:- ref:0 ;
in:73 out:70 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:7063 mv:93 misc:300 imb:0 pmb:12 smb:3588 d:- ref:0 ;
in:71 out:71 type:B dur:2 cpbdur:2 q:0.00 aq:0.91 tex:1387 mv:63 misc:286 imb:0 pmb:13 smb:3587 d:- ref:0 ;
in:70 out:72 type:b dur:2 cpbdur:2 q:0.00 aq:1.68 tex:334 mv:53 misc:277 imb:0 pmb:11 smb:3589 d:- ref:0 ;
in:72 out:73 type:b dur:2 cpbdur:2 q:0.00 aq:2.25 tex:335 mv:33 misc:272 imb:0 pmb:7 smb:3593 d:- ref:0 ;
in:77 out:74 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:9582 mv:79 misc:315 imb:0 pmb:16 smb:3584 d:- ref:0 ;
in:75 out:75 type:B dur:2 cpbdur:2 q:0.00 aq:0.04 tex:5906 mv:84 misc:298 imb:1 pmb:15 smb:3584 d:- ref:0 ;
in:74 out:76 type:b dur:2 cpbdur:2 q:0.00 aq:0.07 tex:2621 mv:78 misc:277 imb:0 pmb:16 smb:3584 d:- ref:0 ;
in:76 out:77 type:b dur:2 cpbdur:2 q:0.00 aq:2.45 tex:906 mv:69 misc:289 imb:0 pmb:14 smb:3586 d:- ref:0 ;
in:81 out:78 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:8931 mv:88 misc:301 imb:0 pmb:15 smb:3585 d:- ref:0 ;
in:79 out:79 type:B dur:2 cpbdur:2 q:0.00 aq:0.84 tex:1479 mv:63 misc:290 imb:0 pmb:15 smb:3585 d:- ref:0 ;
in:78 out:80 type:b dur:2 cpbdur:2 q:0.00 aq:2.45 tex:292 mv:65 misc:267 imb:0 pmb:13 smb:3587 d:- ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:0.00 aq:1.70 tex:466 mv:29 misc:273 imb:0 pmb:10 smb:3590 d:- ref:0 ;
in:85 out:82 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:11617 mv:421 misc:466 imb:125 pmb:19 smb:3456 d:- ref:0 ;
in:83 out:83 type:B dur:2 cpbdur:2 q:0.00 aq:0.77 tex:7287 mv:172 misc:405 imb:1 pmb:93 smb:3506 d:- ref:0 ;
in:82 out:84 type:b dur:2 cpbdur:2 q:0.00 aq:0.20 tex:2006 mv:84 misc:286 imb:0 pmb:18 smb:3582 d:- ref:0 ;
in:84 out:85 type:b dur:2 cpbdur:2 q:0.00 aq:0.78 tex:1920 mv:129 misc:343 imb:0 pmb:68 smb:3532 d:- ref:0 ;
in:89 out:86 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:10964 mv:93 misc:311 imb:0 pmb:17 smb:3583 d:- ref:0 ;
in:87 out:87 type:B dur:2 cpbdur:2 q:0.00 aq:0.18 tex:2018 mv:67 misc:291 imb:0 pmb:17 smb:3583 d:- ref:0 ;
in:86 out:88 type:b dur:2 cpbdur:2 q:0.00 aq:0.82 tex:526 mv:66 misc:280 imb:0 pmb:14 smb:3586 d:- ref:0 ;
in:88 out:89 type:b dur:2 cpbdur:2 q:0.00 aq:0.25 tex:563 mv:58 misc:275 imb:0 pmb:11 smb:3589 d:- ref:0 ;
in:93 out:90 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:1934 mv:53 misc:309 imb:0 pmb:13 smb:3587 d:- ref:0 ;
in:91 out:91 type:B dur:2 cpbdur:2 q:0.00 aq:1.55 tex:534 mv:43 misc:295 imb:0 pmb:9 smb:3591 d:- ref:0 ;
in:90 out:92 type:b dur:2 cpbdur:2 q:0.00 aq:1.55 tex:218 mv:35 misc:267 imb:0 pmb:6 smb:3594 d:- ref:0 ;
in:92 out:93 type:b dur:2 cpbdur:2 q:0.00 aq:0.33 tex:140 mv:39 misc:277 imb:0 pmb:6 smb:3594 d:- ref:0 ;
in:97 out:94 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:2494 mv:54 misc:308 imb:0 pmb:15 smb:3585 d:- ref:0 ;
in:95 out:95 type:B dur:2 cpbdur:2 q:0.00 aq:0.00 tex:841 mv:60 misc:283 imb:0 pmb:12 smb:3588 d:- ref:0 ;
in:94 out:96 type:b dur:2 cpbdur:2 q:0.00 aq:3.87 tex:49 mv:1 misc:254 imb:0 pmb:1 smb:3599 d:- ref:0 ;
in:96 out:97 type:b dur:2 cpbdur:2 q:0.00 aq:2.32 tex:277 mv:60 misc:271 imb:0 pmb:12 smb:3588 d:- ref:0 ;
in:99 out:98 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:106201 mv:532 misc:787 imb:117 pmb:108 smb:3375 d:- ref:0 ;
in:98 out:99 type:b dur:2 cpbdur:2 q:0.00 aq:0.06 tex:40263 mv:114 misc:727 imb:1 pmb:198 smb:3401 d:- ref:0 ;
in:102 out:100 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:68482 mv:612 misc:802 imb:62 pmb:214 smb:3324 d:- ref:0 ;
in:100 out:101 type:B dur:2 cpbdur:2 q:0.00 aq:0.06 tex:20973 mv:276 misc:743 imb:0 pmb:193 smb:3407 d:- ref:0 ;
in:101 out:102 type:b dur:2 cpbdur:2 q:0.00 aq:0.07 tex:5375 mv:212 misc:733 imb:0 pmb:154 smb:3446 d:- ref:0 ;
in:106 out:103 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:50811 mv:774 misc:911 imb:151 pmb:209 smb:3240 d:- ref:0 ;
in:104 out:104 type:B dur:2 cpbdur:2 q:0.00 aq:0.76 tex:21148 mv:474 misc:938 imb:0 pmb:319 smb:3281 d:- ref:0 ;
in:103 out:105 type:b dur:2 cpbdur:2 q:0.00 aq:0.20 tex:8811 mv:259 misc:770 imb:0 pmb:165 smb:3435 d:- ref:0 ;
in:105 out:106 type:b dur:2 cpbdur:2 q:0.00 aq:0.36 tex:9038 mv:272 misc:754 imb:0 pmb:179 smb:3421 d:- ref:0 ;
in:110 out:107 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:9046 mv:115 misc:799 imb:0 pmb:143 smb:3457 d:- ref:0 ;
in:108 out:108 type:B dur:2 cpbdur:2 q:0.00 aq:0.03 tex:3232 mv:231 misc:769 imb:0 pmb:127 smb:3473 d:- ref:0 ;
in:107 out:109 type:b dur:2 cpbdur:2 q:0.00 aq:0.85 tex:1891 mv:211 misc:762 imb:0 pmb:120 smb:3480 d:- ref:0 ;
in:109 out:110 type:b dur:2 cpbdur:2 q:0.00 aq:0.74 tex:1289 mv:167 misc:624 imb:0 pmb:66 smb:3534 d:- ref:0 ;
in:114 out:111 type:P dur:2 cpbdur:2 q:0.00 aq:0.00 tex:2398 mv:91 misc:607 imb:0 pmb:62 smb:3538 d:- ref:0 ;
in:112 out:112 type:B dur:2 cpbdur:2 q:0.00 aq:0.02 tex:1665 mv:115 misc:588 imb:0 pmb:59 smb:3541 d:- ref:0 ;
